date, shift_start, shift_end, shift_type, hours,,,,, shift_start, shift_end, shift_type
01-02-2025,3pm,11pm,evenning shift,8,,,,,3pm,11pm,evenning shift
02-02-2025, , ,day off,0,,,,,7am,3pm,morning shift
03-02-2025,7am,3pm,morning shift,8,,,,,11pm,7am,night shift
04-02-2025,7am,3pm,morning shift,8,,,,, , ,day off
05-02-2025,3pm,11pm,evenning shift,8,,,,,,,
06-02-2025, , ,day off,0,,,,,,,
07-02-2025,3pm,11pm,evenning shift,8,,,,,,,
08-02-2025, , ,day off,0,,,,,,,
09-02-2025, , ,day off,0,,,,,,,
10-02-2025, , ,day off,0,,,,,,,
11-02-2025,3pm,11pm,evenning shift,8,,,,,,,
12-02-2025,3pm,11pm,evenning shift,8,,,,,,,
13-02-2025,3pm,11pm,evenning shift,8,,,,,,,
14-02-2025,3pm,11pm,evenning shift,8,,,,,,,
15-02-2025,3pm,11pm,evenning shift,8,,,,,,,
16-02-2025,3pm,11pm,evenning shift,8,,,,,,,
17-02-2025, , ,day off,0,,,,,,,
18-02-2025, , ,day off,0,,,,,,,
19-02-2025,3pm,11pm,evenning shift,8,,,,,,,
20-02-2025,3pm,11pm,evenning shift,8,,,,,,,
21-02-2025,11pm,7am,night shift,8,,,,,,,
22-02-2025,11pm,7am,night shift,8,,,,,,,
23-02-2025,11pm,7am,night shift,8,,,,,,,
24-02-2025, , ,day off,0,,,,,,,
25-02-2025,3pm,11pm,evenning shift,8,,,,,,,
26-02-2025, , ,day off,0,,,,,,,
27-02-2025,3pm,11pm,evenning shift,8,,,,,,,
28-02-2025,3pm,11pm,evenning shift,8,,,,,,,
01-03-2025,3pm,11pm,evenning shift,8,,,,,,,
02-03-2025,3pm,11pm,evenning shift,8,,,,,,,
03-03-2025, , ,day off,0,,,,,,,
04-03-2025, , ,day off,0,,,,,,,
05-03-2025,3pm,11pm,evenning shift,8,,,,,,,
06-03-2025,3pm,11pm,evenning shift,8,,,,,,,
07-03-2025,3pm,11pm,evenning shift,8,,,,,,,
08-03-2025,3pm,11pm,evenning shift,8,,,,,,,
09-03-2025,3pm,11pm,evenning shift,8,,,,,,,
10-03-2025, , ,day off,0,,,,,,,
11-03-2025, , ,day off,0,,,,,,,
12-03-2025,3pm,11pm,evenning shift,8,,,,,,,
13-03-2025,3pm,11pm,evenning shift,8,,,,,,,
14-03-2025,3pm,11pm,evenning shift,8,,,,,,,
15-03-2025,3pm,11pm,evenning shift,8,,,,,,,
16-03-2025,3pm,11pm,evenning shift,8,,,,,,,
17-03-2025,3pm,11pm,evenning shift,8,,,,,,,
18-03-2025,3pm,11pm,evenning shift,8,,,,,,,
19-03-2025,3pm,11pm,evenning shift,8,,,,,,,
20-03-2025, , ,day off,0,,,,,,,
21-03-2025,7pm,#N/A,#N/A,8,,,,,,,
22-03-2025,11pm,7am,night shift,8,,,,,,,
23-03-2025, , ,day off,0,,,,,,,
24-03-2025,3pm,11pm,evenning shift,8,,,,,,,
25-03-2025,3pm,11pm,evenning shift,8,,,,,,,
26-03-2025,,#N/A,#N/A,8,,,,,,,
27-03-2025, , ,day off,0,,,,,,,
28-03-2025,3pm,11pm,evenning shift,8,,,,,,,
29-03-2025,3pm,11pm,evenning shift,8,,,,,,,
30-03-2025,3pm,11pm,evenning shift,8,,,,,,,
31-03-2025,3pm,11pm,evenning shift,8,,,,,,,
01-04-2025,3pm,11pm,evenning shift,8,,,,,,,
02-04-2025, , ,day off,0,,,,,,,
03-04-2025, , ,day off,0,,,,,,,
04-04-2025, , ,day off,0,,,,,,,
05-04-2025,3pm,11pm,evenning shift,8,,,,,,,
06-04-2025,3pm,11pm,evenning shift,8,,,,,,,
07-04-2025, , ,day off,0,,,,,,,
08-04-2025,7am,3pm,morning shift,8,,,,,,,
09-04-2025,7am,3pm,morning shift,8,,,,,,,
10-04-2025,7am,3pm,morning shift,8,,,,,,,
11-04-2025,7am,3pm,morning shift,8,,,,,,,
12-04-2025,7am,3pm,morning shift,8,,,,,,,
13-04-2025, , ,day off,0,,,,,,,
14-04-2025,11pm,7am,night shift,8,,,,,,,
15-04-2025, , ,day off,0,,,,,,,
16-04-2025,3pm,11pm,evenning shift,8,,,,,,,
17-04-2025,3pm,11pm,evenning shift,8,,,,,,,
18-04-2025,11pm,7am,night shift,8,,,,,,,
19-04-2025,11pm,7am,night shift,8,,,,,,,
20-04-2025, , ,day off,0,,,,,,,
21-04-2025,3pm,11pm,evenning shift,8,,,,,,,
22-04-2025,3pm,11pm,evenning shift,8,,,,,,,
23-04-2025, , ,day off,0,,,,,,,
24-04-2025, , ,day off,0,,,,,,,
25-04-2025,3pm,11pm,evenning shift,8,,,,,,,
26-04-2025,3pm,11pm,evenning shift,8,,,,,,,
27-04-2025,3pm,11pm,evenning shift,8,,,,,,,
28-04-2025,3pm,11pm,evenning shift,8,,,,,,,
29-04-2025,3pm,11pm,evenning shift,8,,,,,,,
30-04-2025,3pm,11pm,evenning shift,8,,,,,,,
01-05-2025, , ,day off,0,,,,,,,
02-05-2025, , ,day off,0,,,,,,,
03-05-2025,3pm,11pm,evenning shift,8,,,,,,,
04-05-2025,3pm,11pm,evenning shift,8,,,,,,,
05-05-2025,3pm,11pm,evenning shift,8,,,,,,,
06-05-2025,3pm,11pm,evenning shift,8,,,,,,,
07-05-2025,3pm,11pm,evenning shift,8,,,,,,,
08-05-2025, , ,day off,0,,,,,,,
09-05-2025, , ,day off,0,,,,,,,
10-05-2025,3pm,11pm,evenning shift,8,,,,,,,
11-05-2025,3pm,11pm,evenning shift,8,,,,,,,
12-05-2025,3pm,11pm,evenning shift,8,,,,,,,
13-05-2025,3pm,11pm,evenning shift,8,,,,,,,
14-05-2025, , ,day off,0,,,,,,,
15-05-2025, , ,day off,0,,,,,,,
16-05-2025,3pm,11pm,evenning shift,8,,,,,,,
17-05-2025,3pm,11pm,evenning shift,8,,,,,,,
18-05-2025,3pm,11pm,evenning shift,8,,,,,,,
19-05-2025,3pm,11pm,evenning shift,8,,,,,,,
20-05-2025,3pm,11pm,evenning shift,8,,,,,,,
21-05-2025, , ,day off,0,,,,,,,
22-05-2025,3pm,11pm,evenning shift,8,,,,,,,
23-05-2025, , ,day off,0,,,,,,,
24-05-2025,7am,3pm,morning shift,8,,,,,,,
25-05-2025,7am,3pm,morning shift,8,,,,,,,
26-05-2025,7am,3pm,morning shift,8,,,,,,,
27-05-2025,3pm,11pm,evenning shift,8,,,,,,,
28-05-2025, , ,day off,0,,,,,,,
29-05-2025, , ,day off,0,,,,,,,
30-05-2025, , ,day off,0,,,,,,,
31-05-2025,3pm,11pm,evenning shift,8,,,,,,,
01-06-2025, , ,day off,0,,,,,,,
02-06-2025, , ,day off,0,,,,,,,
03-06-2025, , ,day off,0,,,,,,,
04-06-2025, , ,day off,0,,,,,,,
05-06-2025,3pm,11pm,evenning shift,8,,,,,,,
06-06-2025,3pm,11pm,evenning shift,8,,,,,,,
07-06-2025, , ,day off,0,,,,,,,
08-06-2025,3pm,11pm,evenning shift,8,,,,,,,
09-06-2025,3pm,11pm,evenning shift,8,,,,,,,
10-06-2025,3pm,11pm,evenning shift,8,,,,,,,
11-06-2025,3pm,11pm,evenning shift,8,,,,,,,
12-06-2025, , ,day off,0,,,,,,,
13-06-2025, , ,day off,0,,,,,,,
14-06-2025,3pm,11pm,evenning shift,8,,,,,,,
15-06-2025,7am,3pm,morning shift,8,,,,,,,
16-06-2025,3pm,11pm,evenning shift,8,,,,,,,
17-06-2025, , ,day off,0,,,,,,,
18-06-2025,11pm,7am,night shift,8,,,,,,,
19-06-2025,11pm,7am,night shift,8,,,,,,,
20-06-2025,11pm,7am,night shift,8,,,,,,,
21-06-2025,11pm,7am,night shift,8,,,,,,,
22-06-2025, , ,day off,0,,,,,,,
23-06-2025,3pm,11pm,evenning shift,8,,,,,,,
24-06-2025,3pm,11pm,evenning shift,8,,,,,,,
25-06-2025,3pm,11pm,evenning shift,8,,,,,,,
26-06-2025, , ,day off,0,,,,,,,
27-06-2025,7am,3pm,morning shift,8,,,,,,,
28-06-2025,3pm,11pm,evenning shift,8,,,,,,,
29-06-2025, , ,day off,0,,,,,,,
30-06-2025,3pm,11pm,evenning shift,8,,,,,,,
01-07-2025,3pm,11pm,evenning shift,8,,,,,,,
02-07-2025, , ,day off,0,,,,,,,
03-07-2025, , ,day off,0,,,,,,,
04-07-2025,7am,3pm,morning shift,8,,,,,,,
05-07-2025,3pm,11pm,evenning shift,8,,,,,,,
06-07-2025,3pm,11pm,evenning shift,8,,,,,,,
07-07-2025,3pm,11pm,evenning shift,8,,,,,,,
08-07-2025,3pm,11pm,evenning shift,8,,,,,,,
09-07-2025, , ,day off,0,,,,,,,
10-07-2025,11pm,7am,night shift,8,,,,,,,
11-07-2025,11pm,7am,night shift,8,,,,,,,
12-07-2025,11pm,7am,night shift,8,,,,,,,
13-07-2025, , ,day off,0,,,,,,,
14-07-2025, , ,day off,0,,,,,,,
15-07-2025,3pm,11pm,evenning shift,8,,,,,,,
16-07-2025,3pm,11pm,evenning shift,8,,,,,,,
17-07-2025, , ,day off,0,,,,,,,
18-07-2025,3pm,11pm,evenning shift,8,,,,,,,
19-07-2025,3pm,11pm,evenning shift,8,,,,,,,
20-07-2025, , ,day off,0,,,,,,,
21-07-2025,3pm,11pm,evenning shift,8,,,,,,,
22-07-2025,3pm,11pm,evenning shift,8,,,,,,,
23-07-2025,3pm,11pm,evenning shift,8,,,,,,,
24-07-2025,3pm,11pm,evenning shift,8,,,,,,,
25-07-2025,3pm,11pm,evenning shift,8,,,,,,,
26-07-2025, , ,day off,0,,,,,,,
27-07-2025, , ,day off,0,,,,,,,
28-07-2025,3pm,11pm,evenning shift,8,,,,,,,
29-07-2025,3pm,11pm,evenning shift,8,,,,,,,
30-07-2025, , ,day off,0,,,,,,,
31-07-2025,11pm,7am,night shift,8,,,,,,,
01-08-2025,11pm,7am,night shift,8,,,,,,,
02-08-2025,11pm,7am,night shift,8,,,,,,,
03-08-2025, , ,day off,0,,,,,,,
04-08-2025,3pm,11pm,evenning shift,8,,,,,,,
05-08-2025,3pm,11pm,evenning shift,8,,,,,,,
06-08-2025,3pm,11pm,evenning shift,8,,,,,,,
07-08-2025,3pm,11pm,evenning shift,8,,,,,,,
08-08-2025,3pm,11pm,evenning shift,8,,,,,,,
09-08-2025, , ,day off,0,,,,,,,
10-08-2025,3pm,11pm,evenning shift,8,,,,,,,
11-08-2025,3pm,11pm,evenning shift,8,,,,,,,
12-08-2025,3pm,11pm,evenning shift,8,,,,,,,
13-08-2025,3pm,11pm,evenning shift,8,,,,,,,
14-08-2025,3pm,11pm,evenning shift,8,,,,,,,
15-08-2025,3pm,11pm,evenning shift,8,,,,,,,
16-08-2025, , ,day off,0,,,,,,,
17-08-2025, , ,day off,0,,,,,,,
18-08-2025,7am,3pm,morning shift,8,,,,,,,
19-08-2025,3pm,11pm,evenning shift,8,,,,,,,
20-08-2025,3pm,11pm,evenning shift,8,,,,,,,
21-08-2025, , ,day off,0,,,,,,,
22-08-2025,7am,3pm,morning shift,8,,,,,,,
23-08-2025,7am,3pm,morning shift,8,,,,,,,
24-08-2025, , ,day off,0,,,,,,,
25-08-2025, , ,day off,0,,,,,,,
26-08-2025,3pm,11pm,evenning shift,8,,,,,,,
27-08-2025,3pm,11pm,evenning shift,8,,,,,,,
28-08-2025,11pm,7am,night shift,8,,,,,,,
29-08-2025,11pm,7am,night shift,8,,,,,,,
30-08-2025,11pm,7am,night shift,8,,,,,,,
31-08-2025, , ,day off,0,,,,,,,
01-09-2025,3pm,11pm,evenning shift,8,,,,,,,
02-09-2025,3pm,11pm,evenning shift,8,,,,,,,
03-09-2025,3pm,11pm,evenning shift,8,,,,,,,
04-09-2025,3pm,11pm,evenning shift,8,,,,,,,
05-09-2025,3pm,11pm,evenning shift,8,,,,,,,
06-09-2025, , ,day off,0,,,,,,,
07-09-2025, , ,day off,0,,,,,,,
08-09-2025,3pm,11pm,evenning shift,8,,,,,,,
09-09-2025,3pm,11pm,evenning shift,8,,,,,,,
10-09-2025, , ,day off,0,,,,,,,
11-09-2025,3pm,11pm,evenning shift,8,,,,,,,
12-09-2025,3pm,11pm,evenning shift,8,,,,,,,
13-09-2025, , ,day off,0,,,,,,,
14-09-2025,3pm,11pm,evenning shift,8,,,,,,,
15-09-2025,3pm,11pm,evenning shift,8,,,,,,,
16-09-2025,3pm,11pm,evenning shift,8,,,,,,,
17-09-2025, , ,day off,0,,,,,,,
18-09-2025,7am,3pm,morning shift,8,,,,,,,
19-09-2025,11pm,7am,night shift,8,,,,,,,
20-09-2025, , ,day off,0,,,,,,,
21-09-2025,7am,3pm,morning shift,8,,,,,,,
22-09-2025,3pm,11pm,evenning shift,8,,,,,,,
23-09-2025,3pm,11pm,evenning shift,8,,,,,,,
24-09-2025, , ,day off,0,,,,,,,
25-09-2025,7am,3pm,morning shift,8,,,,,,,
26-09-2025,7am,3pm,morning shift,8,,,,,,,
27-09-2025,3pm,11pm,evenning shift,8,,,,,,,
28-09-2025, , ,day off,0,,,,,,,
29-09-2025,7am,3pm,morning shift,8,,,,,,,
30-09-2025,3pm,11pm,evenning shift,8,,,,,,,
01-10-2025,3pm,11pm,evenning shift,8,,,,,,,
02-10-2025, , ,day off,0,,,,,,,
03-10-2025,7am,3pm,morning shift,8,,,,,,,
04-10-2025,7am,3pm,morning shift,8,,,,,,,
05-10-2025,7am,3pm,morning shift,8,,,,,,,
06-10-2025,3pm,11pm,evenning shift,8,,,,,,,
07-10-2025,3pm,11pm,evenning shift,8,,,,,,,
08-10-2025,3pm,11pm,evenning shift,8,,,,,,,
09-10-2025,3pm,11pm,evenning shift,8,,,,,,,
10-10-2025, , ,day off,0,,,,,,,
11-10-2025,7am,3pm,morning shift,8,,,,,,,
12-10-2025,7am,3pm,morning shift,8,,,,,,,
13-10-2025,3pm,11pm,evenning shift,8,,,,,,,
14-10-2025,3pm,11pm,evenning shift,8,,,,,,,
15-10-2025,3pm,11pm,evenning shift,8,,,,,,,
16-10-2025,3pm,11pm,evenning shift,8,,,,,,,
17-10-2025,3pm,11pm,evenning shift,8,,,,,,,
18-10-2025, , ,day off,0,,,,,,,
19-10-2025,7am,3pm,morning shift,8,,,,,,,
20-10-2025,3pm,11pm,evenning shift,8,,,,,,,
21-10-2025,3pm,11pm,evenning shift,8,,,,,,,
22-10-2025,3pm,11pm,evenning shift,8,,,,,,,
23-10-2025, , ,day off,0,,,,,,,
24-10-2025, , ,day off,0,,,,,,,
25-10-2025, , ,day off,0,,,,,,,
26-10-2025,7am,3pm,morning shift,8,,,,,,,
27-10-2025,7am,3pm,morning shift,8,,,,,,,
28-10-2025,7am,3pm,morning shift,8,,,,,,,
29-10-2025,3pm,11pm,evenning shift,8,,,,,,,
30-10-2025,3pm,11pm,evenning shift,8,,,,,,,
31-10-2025,3pm,11pm,evenning shift,8,,,,,,,
01-11-2025,3pm,11pm,evenning shift,8,,,,,,,
02-11-2025, , ,day off,0,,,,,,,
03-11-2025,7am,3pm,morning shift,8,,,,,,,
04-11-2025,7am,3pm,morning shift,8,,,,,,,
05-11-2025,3pm,11pm,evenning shift,8,,,,,,,
06-11-2025,3pm,11pm,evenning shift,8,,,,,,,
07-11-2025, , ,day off,0,,,,,,,
08-11-2025,3pm,11pm,evenning shift,8,,,,,,,
09-11-2025,3pm,11pm,evenning shift,8,,,,,,,
10-11-2025,3pm,11pm,evenning shift,8,,,,,,,
11-11-2025,3pm,11pm,evenning shift,8,,,,,,,
12-11-2025,3pm,11pm,evenning shift,8,,,,,,,
13-11-2025, , ,day off,0,,,,,,,
14-11-2025, , ,day off,0,,,,,,,
15-11-2025,11pm,7am,night shift,8,,,,,,,
16-11-2025,7am,3pm,morning shift,8,,,,,,,
17-11-2025,7am,3pm,morning shift,8,,,,,,,
18-11-2025,3pm,11pm,evenning shift,8,,,,,,,
19-11-2025,3pm,11pm,evenning shift,8,,,,,,,
20-11-2025,11pm,7am,night shift,8,,,,,,,
21-11-2025,11pm,7am,night shift,8,,,,,,,
22-11-2025, , ,day off,0,,,,,,,
23-11-2025,3pm,11pm,evenning shift,8,,,,,,,
24-11-2025,3pm,11pm,evenning shift,8,,,,,,,
25-11-2025,3pm,11pm,evenning shift,8,,,,,,,
26-11-2025,3pm,11pm,evenning shift,8,,,,,,,
27-11-2025, , ,day off,0,,,,,,,
28-11-2025,11pm,7am,night shift,8,,,,,,,
29-11-2025,11pm,7am,night shift,8,,,,,,,
30-11-2025, , ,day off,0,,,,,,,
01-12-2025, , ,day off,0,,,,,,,
02-12-2025,3pm,11pm,evenning shift,8,,,,,,,
03-12-2025,3pm,11pm,evenning shift,8,,,,,,,
04-12-2025,3pm,11pm,evenning shift,8,,,,,,,
05-12-2025, , ,day off,0,,,,,,,
06-12-2025,3pm,11pm,evenning shift,8,,,,,,,
07-12-2025,3pm,11pm,evenning shift,8,,,,,,,
08-12-2025, , ,day off,0,,,,,,,
09-12-2025,3pm,11pm,evenning shift,8,,,,,,,
10-12-2025,3pm,11pm,evenning shift,8,,,,,,,
11-12-2025, , ,day off,0,,,,,,,
12-12-2025,3pm,11pm,evenning shift,8,,,,,,,
13-12-2025, , ,day off,0,,,,,,,
14-12-2025,3pm,11pm,evenning shift,8,,,,,,,
15-12-2025, , ,day off,0,,,,,,,
16-12-2025,11pm,7am,night shift,8,,,,,,,
17-12-2025, , ,day off,0,,,,,,,
18-12-2025,3pm,11pm,evenning shift,8,,,,,,,
19-12-2025,3pm,11pm,evenning shift,8,,,,,,,
20-12-2025,3pm,11pm,evenning shift,8,,,,,,,
21-12-2025,3pm,11pm,evenning shift,8,,,,,,,
22-12-2025,3pm,11pm,evenning shift,8,,,,,,,
23-12-2025,3pm,11pm,evenning shift,8,,,,,,,
24-12-2025, , ,day off,0,,,,,,,
25-12-2025,3pm,11pm,evenning shift,8,,,,,,,
26-12-2025,11pm,7am,night shift,8,,,,,,,
27-12-2025, , ,day off,0,,,,,,,
28-12-2025,3pm,11pm,evenning shift,8,,,,,,,
29-12-2025,3pm,11pm,evenning shift,8,,,,,,,
30-12-2025,3pm,11pm,evenning shift,8,,,,,,,
31-12-2025,3pm,11pm,evenning shift,8,,,,,,,
01-01-2026,3pm,11pm,evenning shift,8,,,,,,,
02-01-2026,11pm,7am,night shift,8,,,,,,,
03-01-2026, , ,day off,0,,,,,,,
04-01-2026, , ,day off,0,,,,,,,
05-01-2026,3pm,11pm,evenning shift,8,,,,,,,
06-01-2026,3pm,11pm,evenning shift,8,,,,,,,
07-01-2026, , ,day off,0,,,,,,,
08-01-2026, , ,day off,0,,,,,,,
09-01-2026,3pm,11pm,evenning shift,8,,,,,,,
10-01-2026,3pm,11pm,evenning shift,8,,,,,,,
11-01-2026,3pm,11pm,evenning shift,8,,,,,,,
12-01-2026,3pm,11pm,evenning shift,8,,,,,,,
13-01-2026, , ,day off,0,,,,,,,
14-01-2026, , ,day off,0,,,,,,,
15-01-2026,3pm,11pm,evenning shift,8,,,,,,,
16-01-2026,3pm,11pm,evenning shift,8,,,,,,,
17-01-2026,3pm,11pm,evenning shift,8,,,,,,,
18-01-2026,3pm,11pm,evenning shift,8,,,,,,,
19-01-2026, , ,day off,0,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
